제목,뉴스 출처,날짜,뉴스 본문,관련 href
"
금리 뛰자 장롱속 신사임당 돌아왔다…5만원권 환수율 역대 최고
",연합뉴스,2023-08-06 06:05,"상반기 5만원권 환수율 77.8%…발행액 10조원·환수액 7.8조원사회적 거리 두기 해제 후 소비심리 회복 영향도    (서울=연합뉴스) 신호경 민선희 기자 = 코로나19 사태 3년을 거치며 시중에서 자취를 감췄던 5만원권 지폐가 장롱이나 금고에서 다시 쏟아져 나오고 있다.      2021년 이후 기준금리와 시중금리가 계속 뛰면서 고액권을 들고 있기보다 예·적금 등의 형태로 굴리는 게 유리해진 데다 방역 해제로 대면 경제활동도 늘었기 때문으로 해석된다.          따라서 금리가 갑자기 크게 떨어지지 않는 한 올해 상반기뿐 아니라 연간 전체로도 5만원권 환수율은 역대 최대 기록을 갈아치울 것이 확실시된다.     6일 국회 기획재정위원회 소속 양경숙 의원(더불어민주당)이 한국은행으로부터 받은 화폐 수급 동향 자료에 따르면, 올해 상반기 5만원권 발행액은 약 10조원, 환수액은 7조8천억원을 기록했다.     발행액 대비 환수액의 비율인 환수율은 77.8%로, 2009년 6월 5만원권 발행이 시작된 이후 상반기 기준으로 가장 높은 환수율이다.     통상 한국은행이 화폐를 발행하면, 화폐는 시중에서 유통되다가 예금·세금납부 등 형태로 금융기관으로 입금된다.     금융기관은 일부를 시재금으로 보유하고 나머지는 한국은행에 입금하는데 이때 돌아온 금액이 환수액이다.    환수율은 해당 기간 발행액 대비 환수액의 비율로, 화폐 환수율이 높다는 것은 화폐가 시중에서 활발하게 유통되고 있다는 것을 의미한다.     5만원권 환수율은 지난 2009년 최초 발행 이후 꾸준히 상승해 2017∼2019년 중 50∼60%대에 이르렀다가, 코로나19가 확산한 2020∼2021년에는 10∼20%대까지 떨어졌다.    사회적 거리두기 조치로 대면 거래가 줄어든 데다 경제 불확실성에 고액권을 미리 확보해두려는 수요가 늘었기 때문이다.     그러나 지난해 방역 규제 완화로 소비심리가 회복되고, 한국은행이 지난 2021년 8월부터 1년 반에 걸쳐 기준금리를 3.00%포인트(p) 올리면서 환수율이 높아지기 시작했다.    한은의 기준금리 인상으로 시중 금리도 함께 뛰면서 현금을 보유하기보다 높은 금리를 주는 예·적금 등에 넣은 것으로 추정된다는 게 한은의 설명이다.        한은에 따르면 예금은행의 저축성 수신(예금) 평균금리(가중평균·신규취급액 기준)는 한은의 기준금리 인상이 시작된 지난 2021년 8월 연 1.03%에서 지난해 11월 연 4.29%까지 뛰었다.     은행 수신금리는 이후 하락해 지난 4월 3.43%까지 내렸으나, 5월 반등해 6월에는 3.69%로 집계됐다.     예금은행의 수신 잔액 역시 2021년 8월 말 2천253조7천억원에서 지난해 11월 2천480조6천억원까지 늘었다. 지난 5월에는 2천427조8천억원으로 집계됐다.    고액권 환수율 증가세는 통화 긴축을 이어간 다른 주요국에서도 관측됐다.    미국 100달러권 환수율은 2020년 51.0%까지 하락했다가 2022년 81.3%로 올랐으며, 유로존 200유로권 역시 2020년 환수율이 46.5%로 내렸다가 지난해 104.8%까지 상승했다.     shk999@yna.co.kr, ssun@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 수조원 경제효과 기대했지만..잼버리 '총체적 부실'로 파행 '학폭 논란' 이다영 ""다시 한번 죄송…이재영은 학폭과 무관"" '브레이킹배드 마약왕' 헥터 살라만카 열연한 노배우 별세 흉기든 채 유리문 '쾅쾅'…경찰, 용인 흉기소란 40대 구속영장 유엔 인권위 ""일본 연예기획사 자니즈서 수백명 성폭력 피해""",https://finance.naver.com/news/news_read.naver?article_id=0014114245&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
[그래픽] 원/달러 환율 추이
",연합뉴스,2023-08-04 16:20,"(서울=연합뉴스) 원형민 기자 = 4일 서울 외환시장에서 달러 대비 원화 환율은 전 거래일보다 10.7원 오른 1,309.8원에 마감했다.    circlemin@yna.co.kr    페이스북 tuney.kr/LeYN1 트위터 @yonhap_graphics연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. '분당 흉기 난동' 피의자, 사건 전날도 흉기 들고 서현역 방문 학교서 교사 흉기로 찌른 20대 검거…""과거 사제 간"" ""맨날 다니던 집앞서 어찌 어런 일이""…뇌사 피해자 남편 '통곡' 잇단 '묻지마' 흉기 난동에 외신도 주목…""한국에선 드문 일"" 환자 속출하는데…""입장 불가"" 의료봉사자 거절한 잼버리 조직위",https://finance.naver.com/news/news_read.naver?article_id=0014112812&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
원/달러 환율, 10원 넘게 급등…1,310원 근접 마감
",연합뉴스,2023-08-04 15:48,"(서울=연합뉴스) 채새롬 기자 = 원/달러 환율이 4일 장중 10원 넘게 올라 1,310원에 바짝 다가섰다.    이날 서울 외환시장에서 달러 대비 원화 환율은 전 거래일보다 10.7원 오른 1,309.8원에 마감했다.    이날 종가는 지난 6월 30일(1,317.7원) 이후 최고치다.     환율은 전 거래일 종가보다 1.6원 내린 1,297.5원에 개장해 전날에 이어 장 초반 1,300원선을 중심으로 등락했다.     이후 오후 들어 상승 폭을 확대하더니 1,310.2원까지 고점을 높였다.    환율은 이날 밤 미국의 7월 비농업 고용보고서 발표를 앞두고 시장의 경계심이 높아지면서 상승한 것으로 보인다.     장중 1,300원 위로 올라가면서 수급상으로도 결제 수요가 우위를 보이며 환율 상승을 부추겼다.     외국인 투자자는 이날 코스피·코스닥시장에서 3천억원 넘게 순매도했다.    같은 시간 원/엔 재정환율은 100엔당 919.77원이다. 전 거래일 오후 3시 30분 기준가(904.89원)보다 14.88원 올랐다.[그래픽] 원/달러 환율 추이(서울=연합뉴스) 원형민 기자 = circlemin@yna.co.kr    페이스북 tuney.kr/LeYN1 트위터 @yonhap_graphics    srchae@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. '분당 흉기 난동' 피의자, 사건 전날도 흉기 들고 서현역 방문 학교서 교사 흉기로 찌른 20대 검거…""과거 사제 간"" ""맨날 다니던 집앞서 어찌 어런 일이""…뇌사 피해자 남편 '통곡' 잇단 '묻지마' 흉기 난동에 외신도 주목…""한국에선 드문 일"" 환자 속출하는데…""입장 불가"" 의료봉사자 거절한 잼버리 조직위",https://finance.naver.com/news/news_read.naver?article_id=0014112723&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
원/달러 환율, 미국 고용지표 대기…장 초반 보합권
",연합뉴스,2023-08-04 09:24,"(서울=연합뉴스) 채새롬 기자 = 4일 원/달러 환율은 미국 고용지표 발표를 대기하며 장 초반 보합권에서 움직이고 있다.    이날 서울 외환시장에서 오전 9시 13분 현재 달러 대비 원화 환율은 전 거래일보다 0.1원 내린 1,299.0원이다.     환율은 1.6원 내린 1,297.5원에 개장해 전날에 이어 1,300원선을 중심으로 좁은 폭에서 등락하고 있다.     강달러 부담이 완화하는 가운데 이날 발표되는 미국의 7월 비농업 고용보고서를 대기하는 모습이다.     수출업체 네고(달러 매도) 물량도 1,300원선을 고점으로 인식하고 유입되는 양상을 보이고 있다.    같은 시간 원/엔 재정환율은 100엔당 910.86원이다. 전 거래일 오후 3시 30분 기준가(904.89원)보다 5.97원 상승했다.     srchae@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 경찰 ""분당 흉기난동범, 누가 죽이려한다는 피해망상 겪다 범행"" 경찰, 오리역·서현역 잇단 '살인예고' 게시물에 총력 대응 ""엄마, 죽는 줄 알았어""…흉기난동 부상자가 가족에 전한 한마디 ""가게 닫고 숨죽인 채 있었어요""…목격자들 전한 난동 당시 상황 공주 국도서 자전거 타던 70대, 차량 3대에 잇따라 치여 숨져",https://finance.naver.com/news/news_read.naver?article_id=0014111608&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
원/달러 환율, 3주 만에 1,300원선 '터치'
",연합뉴스,2023-08-03 15:41,"(서울=연합뉴스) 채새롬 기자 = 3일 원/달러 환율이 1,300원선을 찍고 내려왔다.    이날 서울 외환시장에서 달러 대비 원화 환율은 전 거래일보다 0.6원 오른 1,299.1원에 마감했다.    환율은 전 거래일 종가보다 0.5원 오른 1,299.0원에 개장해 장중 1,302.5원까지 오르는 등 1,300원선 안팎에서 등락을 거듭했다.     환율이 장중 1,300원을 넘은 것은 지난달 11일(장중 고가 1,301.1원) 이후 3주 만이다.     이날 외국인은 코스피·코스닥시장에서 2천억원 넘게 순매도했고, 코스피200 선물시장에서는 1조5천억원 가까이 팔아치우며 환율에 상방 압력을 가했다.     다만 미국 신용등급 강등 영향이 전날 주로 반영된 탓에 상단은 제한됐다.     국제 신용평가사 피치는 전날 미국의 국가신용등급을 'AAA'에서 'AA+'로 강등했다. 이에 따른 위험 회피 심리가 강화되면서 2일 원/달러 환율은 14.7원 급등했다.    같은 시간 원/엔 재정환율은 100엔당 904.89원이다. 전 거래일 오후 3시 30분 기준가(909.22원)에서 4.33원 내렸다.    srchae@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110334&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
일본, 금융완화 수정에도 엔저 지속…국채 수익률은 상승세
",연합뉴스,2023-08-03 15:22,"(도쿄=연합뉴스) 박상현 특파원 = 일본 중앙은행인 일본은행이 7개월 만에 대규모 금융완화 정책을 수정한 뒤 금융시장에서 엔화 가치 하락(엔저)과 10년물 국채 금리 상승 현상이 나타나고 있다고 니혼게이자이신문(닛케이)이 3일 보도했다.    앞서 일본은행은 지난달 28일 장기금리 지표인 10년물 국채 금리의 상한선 목표를 0.5%로 하되 시장 동향에 따라 1%까지는 용인하기로 했다.    일본은행의 이 같은 결정 이후 10년물 국채 수익률은 0.6%를 넘어 이날 장중 한때 0.655%를 기록했다. 이는 9년 7개월 만에 최고 수준이다.    일본은행은 지난달 31일 10년물 국채의 수익률이 0.605%로 치솟자 공개시장 조작에 나서기도 했다.    엔/달러 환율은 이날 달러당 143엔대에서 등락을 거듭하고 있다. 지난달 28일과 비교하면 달러당 5엔가량 올랐다.    통상적으로 금리가 오른 나라의 통화는 강세를 띠는 경향이 있지만, 일본에서는 이례적으로 엔화 가치가 떨어지고 있다.    이에 대해 닛케이는 ""일본은행이 약간의 금리 상승은 용인했지만, 급격한 움직임은 허용하지 않는다는 자세를 보이고 있는 것이 요인""이라고 분석했다.    이어 ""느린 속도의 금리 상승과 엔저가 지속되면 수입 물가 급등이 재현될 우려가 있다""고 짚었다.    한편 우치다 신이치 일본은행 부총재는 전날 금융정책 수정과 관련해 금융완화를 끈질기게 계속하기 위한 조처라고 설명했다.    아울러 그는 금융완화의 출구를 의식한 것은 아니라는 점도 강조했다.    psh59@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110229&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
[게시판] KB국민은행, 거래외국환은행 지정 고객에 1만원 쿠폰
",연합뉴스,2023-08-03 15:15,"▲ KB국민은행은 다음 달 29일까지 유학생과 해외체재 고객을 대상으로 KB금융쿠폰 증정 행사를 진행한다고 3일 밝혔다. 이 기간 유학생·해외체재자가 KB국민은행을 거래외국환은행으로 새로 지정하면 외환 거래에 사용할 수 있는 KB금융쿠폰 1만원을 받는다. 거래외국환은행 지정은 외국환거래 법령에 따라 사전에 한 은행을 정한 뒤 해당 은행에서만 특정 거래를 허용하는 제도다.    (서울=연합뉴스)연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110197&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
외환보유액 2개월째 증가
",연합뉴스,2023-08-03 14:33,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110018&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
7월 외환보유액 2개월째 증가…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110014&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
7월 외환보유액 2개월째 증가…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110013&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
7월 외환보유액…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110012&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
7월 외환보유액 2개월째 증가…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110011&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
7월 외환보유액…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110010&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
"
7월 외환보유액…3.5억달러 늘어난 4천218억달러
",연합뉴스,2023-08-03 14:32,"(서울=연합뉴스) 박동주 기자 = 최근 미국 달러화 약세, 외화자산 운용수익 증가 등으로 우리나라 외환보유액이 2개월 연속 증가했다.    한은이 3일 발표한 외환보유액 통계에 따르면 7월 말 기준 외환보유액은 4천218억달러로 6월 말(4천214억5천만달러) 보다 3억5천만달러 증가했다. 이날 오후 서울 중구 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 2023.8.3    pdj6635@yna.co.kr연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다. 블랙핑크 지수, 배우 안보현과 교제…""조금씩 알아가는 단계"" '물리학의 성배' 해외서도 뜨거운 초전도체…""사실이면 노벨상"" 술마시고 새벽 귀가 혼내는 어머니 살해 美 복권 '메가 밀리언스' 1등 당첨금 1조6천억원으로 불어 트뤼도, 18년 결혼 접고 이혼…""깊은 사랑과 존경 남을것""",https://finance.naver.com/news/news_read.naver?article_id=0014110009&office_id=001&mode=LSS3D&type=0&section_id=101&section_id2=258&section_id3=429&date=20230808&page=1
